year,state,district,grade,subject,level,percentage,n_students
2012,Rajasthan,Rajasthan,5,reading,story,33.3,
2012,Tamil Nadu,Tamil Nadu,5,math,division,9.6,
2012,Tamil Nadu,Tamil Nadu,5,reading,story,30.2,
2012,Uttar Pradesh,Uttar Pradesh,5,math,division,9.1,
2012,Uttar Pradesh,Uttar Pradesh,5,reading,story,25.6,
2012,Uttarakhand,Uttarakhand,5,math,division,27.3,
2012,Uttarakhand,Uttarakhand,5,reading,story,52.2,
2012,West Bengal,West Bengal,5,math,division,28.7,
2012,West Bengal,West Bengal,5,reading,story,48.7,
2014,Assam,Assam,5,math,division,9.0,
2014,Assam,Assam,5,reading,story,30.6,
2014,Bihar,Bihar,5,math,division,31.4,
2014,Bihar,Bihar,5,reading,story,44.6,
2014,Chhattisgarh,Chhattisgarh,5,math,division,14.1,
2014,Chhattisgarh,Chhattisgarh,5,reading,story,47.1,
2014,Gujarat,Gujarat,5,math,division,13.9,
2014,Gujarat,Gujarat,5,reading,story,44.6,
2014,Haryana,Haryana,5,math,division,30.8,
2014,Haryana,Haryana,5,reading,story,53.9,
2014,Himachal Pradesh,Himachal Pradesh,5,math,division,37.9,
2014,Himachal Pradesh,Himachal Pradesh,5,reading,story,71.5,
2014,Jharkhand,Jharkhand,5,math,division,17.6,
2014,Jharkhand,Jharkhand,5,reading,story,29.1,
2014,Karnataka,Karnataka,5,math,division,16.7,
2014,Karnataka,Karnataka,5,reading,story,45.7,
2014,Kerala,Kerala,5,math,division,25.6,
2014,Kerala,Kerala,5,reading,story,61.3,
2014,Madhya Pradesh,Madhya Pradesh,5,math,division,10.0,
2014,Madhya Pradesh,Madhya Pradesh,5,reading,story,27.5,
2014,Maharashtra,Maharashtra,5,math,division,16.6,
2014,Maharashtra,Maharashtra,5,reading,story,51.7,
2014,Odisha,Odisha,5,math,division,19.9,
2014,Odisha,Odisha,5,reading,story,49.1,
2014,Punjab,Punjab,5,math,division,37.1,
2014,Punjab,Punjab,5,reading,story,60.9,
2014,Rajasthan,Rajasthan,5,math,division,12.0,
2014,Rajasthan,Rajasthan,5,reading,story,34.4,
2014,Tamil Nadu,Tamil Nadu,5,math,division,25.6,
2014,Tamil Nadu,Tamil Nadu,5,reading,story,49.9,
2014,Uttar Pradesh,Uttar Pradesh,5,math,division,12.1,
2014,Uttar Pradesh,Uttar Pradesh,5,reading,story,26.8,
2014,Uttarakhand,Uttarakhand,5,math,division,21.4,
2014,Uttarakhand,Uttarakhand,5,reading,story,52.0,
2014,West Bengal,West Bengal,5,math,division,31.3,
2014,West Bengal,West Bengal,5,reading,story,51.8,
2016,Assam,Assam,5,math,division,9.1,
2016,Assam,Assam,5,reading,story,32.2,
2016,Bihar,Bihar,5,math,division,28.9,
2016,Bihar,Bihar,5,reading,story,38.0,
2016,Chhattisgarh,Chhattisgarh,5,math,division,18.6,
2016,Chhattisgarh,Chhattisgarh,5,reading,story,51.0,
2016,Gujarat,Gujarat,5,math,division,14.5,
2016,Gujarat,Gujarat,5,reading,story,52.3,
2016,Haryana,Haryana,5,math,division,30.1,
2016,Haryana,Haryana,5,reading,story,54.6,
2016,Himachal Pradesh,Himachal Pradesh,5,math,division,47.4,
